age,country,event_count,friend_count,gender,id,image,playcount,playlists,recent_artist1,recent_artist2,recent_artist3,recent_artist4,recent_artist5,recent_date1,recent_date2,recent_date3,recent_date4,recent_date5,recent_track1,recent_track2,recent_track3,recent_track4,recent_track5,registered,subscriber,tag1,tag2,tag3,tag4,tag5,top_artist1,top_artist2,top_artist3,top_artist4,top_artist5,top_count1,top_count2,top_count3,top_count4,top_count5
None,None,0,0,None,18974685,False,1,0,Atreyu,None,None,None,None,1243527665,None,None,None,None,Doomsday,None,None,None,None,1243527019,0,metalcore,None,None,None,None,Atreyu,None,None,None,None,1,None,None,None,None
None,None,0,0,None,24866284,False,41,0,Mike Jones,Plies,Lil' Wayne,Juelz Santana,Lil Boosie,1261945238,1261945010,1261944761,1261944586,1261944326,Like What I Got,Club Love (feat. Plies),Lollipop,One Day I Smile  Version (Explicit)),I Get Money,1261023172,0,Hip-Hop,rap,rap,rap,Hip-Hop,Birdman,Young Jeezy,Gorilla Zoe,Ludacris,Drake,3,3,3,2,2
None,None,0,0,None,25001374,False,15,0,T.I.,Dr. Dre,Young Jeezy,Don Henley,The Doobie Brothers,1261708577,1261708260,1261707904,1261707144,1261706705,Whatever You Like,Forgot About Dre,Hustlaz Ambition,The Boys Of Summer,Takin' it to the Streets,1261292391,0,classic rock,classic rock,Hip-Hop,classic rock,classic rock,Electric Light Orchestra,Queen,Dr. Dre,Don Henley,Eagles,1,1,1,1,1
None,None,0,0,None,21895751,False,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1255272802,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
None,None,0,0,None,17982903,False,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1240163095,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
None,None,0,0,None,29592282,False,176,1,Backstreet Boys,Five,Boyzone,Boys Like Girls,Coldplay,1274197851,1274197479,1274197343,1274197111,1274030518,Everybody,Got the Feelin',Gave It All Away,Love Drunk,Clocks,1273698385,0,pop,pop,rnb,pop,None,None,None,None,None,None,None,None,None,None,None
None,None,0,0,,3082009,False,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1135306055,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
31.0,DE,0,0,f,9602224,True,58,1,Dione,Tommyknocker,Damian Marley,Michael Wendler,Michael Wendler,1211293005,1211292796,1210424561,1210359389,1210358627,Human infestation,T-Day,Damian Marley ft. Nas - Road To Zion,Die Engel fliehn,14. Michael Wendler - Sie Liebt Den DJ (Apres-Ski Mix),1204132995,0,industrial metal,darkwave,hardcore,Love Metal,rock,Oomph!,L'?me Immortelle,Kasparov,HIM,Nickelback,25,3,3,2,2
None,None,0,0,None,21376027,False,10,0,Ruben Rada,Buitres,La Trampa,Jaime Roos,Kapanga,1255279395,1255279251,1255279015,1255278745,1254167289,Yo Quiero,No Es Una Pena,Arma de doble filo,Las luces del Estadio,Rock,1253133535,0,reggae,rock,ska,Rock uruguayo,ska,Los Cafres,Ratones Paranoicos,Kapanga,La Trampa,Karamelo Santo,1,1,1,1,1
22.0,None,0,5,f,6699387,True,534,1,021_Janna Friske,021_Janna Friske,021_Janna Friske,????????? ?????,027_Dima Bilan,1314384679,1314384437,1314383952,1311255913,1311255703,Proleteli leta dni,Proleteli leta dni,Proleteli leta dni,?????,Changes,1180953873,0,metalcore,punk rock,hardcore,alternative,pop,Stigmata,blink-182,Devotion To Trust,??????,Roxette,67,33,31,30,28
None,US,0,5,m,5028128,True,16452,1,System F,System F,Incubus,System of a Down,System of a Down,1237295580,1237261772,1236920547,1236920334,1236920123,Trance Nation Disc 2,Trance Nation Disc 2,Oil And Water,Bounce,Chop Suey!,1163464934,0,rock,emo,post-rock,indie,rock,Anberlin,Mae,Explosions in the Sky,Death Cab for Cutie,Relient K,945,895,493,353,299
None,None,0,0,None,26880331,False,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1265824651,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
26.0,US,0,1,f,13658519,True,18,0,Modest Mouse,Elliott Smith,Broken Social Scene,Radiohead,Radiohead,1229721224,1226534421,1226533751,1226457097,1226456680,The Good Times Are Killing Me,Everybody Cares Everybody Understands,Cause = Time,Fake Plastic Trees,My Iron Lung,1226434826,0,alternative,dream pop,indie,acoustic,electronic,Radiohead,Mazzy Star,Broken Social Scene,Jos? Gonz?lez,Bj?rk,3,2,2,2,1
